id,name,bday,location,final,p
0,Edward G. Robinson,1893-12-12,Bucharest,upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Edward_G._Robinson_-_still.jpg/330px-Edward_G._Robinson_-_still.jpg,"Edward G. Robinson (born Emanuel Goldenberg; Yiddish: ײמאַנועל גאָלדענבערג‎; December 12, 1893 – January 26, 1973) was an American actor of stage and screen during Hollywood's Golden Age. He appeared in 40 Broadway plays and more than 100 films during a 50-year career[1] and is best remembered for his tough-guy roles as gangsters in such films as Little Caesar and Key Largo."
1,Naseeruddin Shah,1949-07-20,"Barabanki, Uttar Pradesh",upload.wikimedia.org/wikipedia/commons/thumb/0/00/Naseeruddin_Shah.jpg/330px-Naseeruddin_Shah.jpg,"Naseeruddin Shah is an Indian film and stage actor and director in the Hindi language film industry. He is considered among the finest actors of India and is a prominent figure in Indian parallel cinema.[1][not in citation given] He has won numerous awards in his career, including three National Film Awards, three Filmfare Awards and an award at the Venice Film Festival. The Government of India has honoured him with the Padma Shri and the Padma Bhushan awards for his contributions to Indian cinema.[2]"
2,Louise Fletcher,1934-07-22,"Birmingham, Alabama",upload.wikimedia.org/wikipedia/commons/thumb/8/89/Louise_Fletcher_1959_crop.jpg/330px-Louise_Fletcher_1959_crop.jpg,"Fletcher had her acting debut in the television series Yancy Derringer in 1958. She guest starred in the television series Wagon Train in 1959 before making her film debut in A Gathering of Eagles in 1963. In 1974, after a decade-long hiatus from acting in which she raised a family, Fletcher appeared in Robert Altman's Thieves Like Us. The following year, Fletcher gained international recognition for her performance as Nurse Ratched in the drama film One Flew Over the Cuckoo's Nest (1975), for which she won the Academy Award for Best Actress, BAFTA Award for Best Actress in a Leading Role and Golden Globe Award for Best Actress. She became only the third actress to ever win an Academy Award, BAFTA Award and Golden Globe Award for a single performance, after Audrey Hepburn and Liza Minnelli. Other notable film roles include Exorcist II: The Heretic (1977), Brainstorm (1983), Firestarter (1984), Flowers in the Attic (1987), 2 Days in the Valley (1996), and Cruel Intentions (1999)."
3,Philip Seymour Hoffman,1967-07-23,"Fairport, New York",upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Philip_Seymour_Hoffman_2011.jpg/330px-Philip_Seymour_Hoffman_2011.jpg,"Philip Seymour Hoffman (July 23, 1967 – February 2, 2014) was an American actor, director, and producer. Best known for his distinctive supporting and character roles – typically lowlifes, eccentrics, bullies, and misfits – Hoffman acted in many films from the early 1990s until his death in 2014."
4,Prasoon Joshi,1971-09-16,,upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Prasoon_Joshi_%28Cropped%29.png/330px-Prasoon_Joshi_%28Cropped%29.png,"Prasoon Joshi (born 16 September 1971) is an Indian lyricist, screenwriter, poet and marketer. He is the  CEO of McCann World group India and Chairman (Asia Pacific), a subsidiary of the global marketing firm McCann Erickson. He was appointed as the Chairperson of the Central Board of Film Certification on 11 August 2017."
5,Jordan Belfort,1962-07-09,Queens,upload.wikimedia.org/wikipedia/commons/8/89/Jordan_Belfort_-_May_30%2C_2010.jpg,
6,Saurabh Shukla,1963-03-05,Gorakhpur,upload.wikimedia.org/wikipedia/commons/thumb/6/62/Saurabh_Shukla_graces_the_screening_of_Sonata.jpg/330px-Saurabh_Shukla_graces_the_screening_of_Sonata.jpg,"Saurabh Shukla (born 5 March 1963) is an Indian film, theatre and television actor and director. He is famous for his roles in Satya (1998), Barfi! (2012), Jolly LLB (2013), Kick (2014), PK (2014), Jolly LLB 2(2017) and Raid (2018)."
7,Aida Elkashef,,,,"El-Kashef was involved in the protests at Tahrir Square, where she filmed the events of the Arab Spring as they unfolded. She was one of the first protestors to occupy Tahrir[4] where she set up a tent.[5] She also documented ""aggressive assaults against women"" that occurred during the protests[3] often risking her own personal safety.[6] El-Kashef's films of men sexually assaulting women were shown worldwide and El-Kashef and her friends vowed to fight back, carrying electric prods and knives as protection.[7] She was arrested and detained for her participation in the No Military Trials for Civilians protest.[2] El-Kashef missed the promotion of Ship of Theseus in India while she was protesting.[8] Another aspect of the protests was her involvement in filming the grief of family members who raided the Zeinhom Morgue in Cairo to see their loved ones one last time.[9]"
8,Zak Penn,1968-03-23,,upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Zak_Penn_by_Gage_Skidmore.jpg/330px-Zak_Penn_by_Gage_Skidmore.jpg,"Zak Penn (born March 23, 1968) is an American screenwriter.[1] Penn wrote and directed Incident at Loch Ness and The Grand, and co-wrote the scripts for X2, X-Men: The Last Stand and the story for The Avengers. With Michael Karnow, Penn is the co-creator of the TV series Alphas on the Syfy network.[2]"
9,Kalki Koechlin,1984-01-10,Pondicherry,upload.wikimedia.org/wikipedia/commons/thumb/6/68/Kalki_Koechlin_launches_beautifulhomes.jpg/330px-Kalki_Koechlin_launches_beautifulhomes.jpg,"Kalki Koechlin (/ˈkʌlki keɪˈklæ̃/ (listen); born 10 January 1984) is an Indian-born French actress and writer, who lives and works in India. Known for her unconventional body of work in the Hindi film industry, she is the recipient of such accolades as a National Film Award, a Filmfare, and two Screen Awards. Koechlin was conferred with the Knight of the Order of Arts and Letters by the French Minister of Culture for her contributions to cinema."
