title1,final_genres
Anand (1971) ,Drama
Drishyam (2013) ,Thriller
Drishyam (2013) ,Crime
Drishyam (2013) ,Drama
Nayakan (1987) ,Crime
Nayakan (1987) ,Drama
Anbe Sivam (2003) ,Comedy
Anbe Sivam (2003) ,Adventure
Anbe Sivam (2003) ,Drama
Gol Maal (1979) ,Romance
Gol Maal (1979) ,Comedy
Vikram Vedha (2017) ,Thriller
Vikram Vedha (2017) ,Crime
Vikram Vedha (2017) ,Action
Black Friday (2004) ,Crime
Black Friday (2004) ,Action
Black Friday (2004) ,Drama
Black Friday (2004) ,History
Ratsasan (2018) ,Crime
Ratsasan (2018) ,Action
Ratsasan (2018) ,Drama
Ratsasan (2018) ,History
Pather Panchali (1955) ,Drama
Dangal (2016) ,Sport
Dangal (2016) ,Action
Dangal (2016) ,Drama
Dangal (2016) ,Biography
Taare Zameen Par (2007) ,Family
Taare Zameen Par (2007) ,Drama
3 Idiots (2009) ,Comedy
3 Idiots (2009) ,Drama
Aruvi (2016) ,Comedy
Aruvi (2016) ,Drama
Manichithrathazhu (1993) ,Thriller
Manichithrathazhu (1993) ,Musical
Manichithrathazhu (1993) ,Comedy
Manichithrathazhu (1993) ,Mystery
Manichithrathazhu (1993) ,Horror
96 (2018) ,Romance
96 (2018) ,Drama
Jaane Bhi Do Yaaro (1983) ,Comedy
Jaane Bhi Do Yaaro (1983) ,Drama
Thalapathi (1991) ,Crime
Thalapathi (1991) ,Action
Thalapathi (1991) ,Drama
Andhadhun (2018) ,Thriller
Andhadhun (2018) ,Crime
Guide (1965) ,Romance
Guide (1965) ,Musical
Guide (1965) ,Drama
Chupke Chupke (1975) ,Romance
Chupke Chupke (1975) ,Comedy
Chupke Chupke (1975) ,Drama
Uri: The Surgical Strike (2019) ,War
Uri: The Surgical Strike (2019) ,Action
Uri: The Surgical Strike (2019) ,Drama
Thani Oruvan (2015) ,Thriller
Thani Oruvan (2015) ,Crime
Thani Oruvan (2015) ,Action
Kannathil Muthamittal (2002) ,War
Kannathil Muthamittal (2002) ,Action
Kannathil Muthamittal (2002) ,Drama
Gully Boy (2019) ,Music
Gully Boy (2019) ,Drama
Khosla Ka Ghosla! (2006) ,Comedy
Khosla Ka Ghosla! (2006) ,Crime
Khosla Ka Ghosla! (2006) ,Drama
Apur Sansar (1959) ,Drama
Vada Chennai (2018) ,Drama
Dhuruvangal Pathinaaru (2016) ,Thriller
Dhuruvangal Pathinaaru (2016) ,Crime
Dhuruvangal Pathinaaru (2016) ,Action
Dhuruvangal Pathinaaru (2016) ,Mystery
Peranbu (2018) ,Drama
Shahid (2012) ,Biography
Shahid (2012) ,Crime
Shahid (2012) ,Drama
Talvar (2015) ,Thriller
Talvar (2015) ,Crime
Talvar (2015) ,Drama
Talvar (2015) ,Mystery
Mughal-E-Azam (1960) ,Romance
Mughal-E-Azam (1960) ,War
Mughal-E-Azam (1960) ,Drama
Drishyam (2015) ,Thriller
Drishyam (2015) ,Crime
Drishyam (2015) ,Drama
Aparajito (1956) ,Drama
Black (2005) ,Drama
Hera Pheri (2000) ,Thriller
Hera Pheri (2000) ,Musical
Hera Pheri (2000) ,Crime
Hera Pheri (2000) ,Action
Hera Pheri (2000) ,Comedy
Mahanati (2018) ,Thriller
Mahanati (2018) ,Musical
Mahanati (2018) ,Crime
Mahanati (2018) ,Action
Mahanati (2018) ,Comedy
Jigarthanda (2014) ,Thriller
Jigarthanda (2014) ,Crime
Jigarthanda (2014) ,Action
Jigarthanda (2014) ,Drama
Satya (1998) ,Thriller
Satya (1998) ,Crime
Satya (1998) ,Action
Satya (1998) ,Drama
Paan Singh Tomar (2012) ,Sport
Paan Singh Tomar (2012) ,Thriller
Paan Singh Tomar (2012) ,Crime
Paan Singh Tomar (2012) ,Action
Paan Singh Tomar (2012) ,Biography
Soodhu Kavvum (2013) ,Comedy
Soodhu Kavvum (2013) ,Crime
Soodhu Kavvum (2013) ,Thriller
Bhaag Milkha Bhaag (2013) ,Biography
Bhaag Milkha Bhaag (2013) ,Sport
Bhaag Milkha Bhaag (2013) ,Drama
Rang De Basanti (2006) ,Comedy
Rang De Basanti (2006) ,Drama
Jo Jeeta Wohi Sikandar (1992) ,Sport
Jo Jeeta Wohi Sikandar (1992) ,Drama
Jo Jeeta Wohi Sikandar (1992) ,Comedy
Jo Jeeta Wohi Sikandar (1992) ,Romance
"Swades: We, the People (2004) ",Drama
OMG: Oh My God! (2012) ,Comedy
OMG: Oh My God! (2012) ,Fantasy
OMG: Oh My God! (2012) ,Drama
Queen (2013) ,Comedy
Queen (2013) ,Drama
Sholay (1975) ,Thriller
Sholay (1975) ,Musical
Sholay (1975) ,Action
Sholay (1975) ,Drama
Sholay (1975) ,Adventure
Sholay (1975) ,Comedy
Gangs of Wasseypur (2012) ,Thriller
Gangs of Wasseypur (2012) ,Crime
Gangs of Wasseypur (2012) ,Action
Gangs of Wasseypur (2012) ,Drama
Gangs of Wasseypur (2012) ,Comedy
Premam (2015) ,Thriller
Premam (2015) ,Crime
Premam (2015) ,Action
Premam (2015) ,Drama
Premam (2015) ,Comedy
Chak De! India (2007) ,Sport
Chak De! India (2007) ,Family
Chak De! India (2007) ,Drama
Sairat (2016) ,Romance
Sairat (2016) ,Drama
Bangalore Days (2014) ,Romance
Bangalore Days (2014) ,Comedy
Bangalore Days (2014) ,Drama
Mudhalvan (1999) ,Thriller
