title1,final_genres
0,Drama
1,Thriller
1,Drama
1,Crime
2,Drama
2,Crime
3,Adventure
3,Drama
3,Comedy
4,Romance
4,Comedy
5,Action
5,Thriller
5,Crime
6,Action
6,History
6,Drama
6,Crime
7,Action
7,History
7,Drama
7,Crime
8,Drama
9,Action
9,Sport
9,Biography
9,Drama
10,Family
10,Drama
11,Drama
11,Comedy
12,Drama
12,Comedy
13,Comedy
13,Thriller
13,Musical
13,Mystery
13,Horror
14,Romance
14,Drama
15,Drama
15,Comedy
16,Action
16,Drama
16,Crime
17,Thriller
17,Crime
18,Romance
18,Drama
18,Musical
19,Romance
19,Drama
19,Comedy
20,Action
20,Drama
20,War
21,Action
21,Thriller
21,Crime
22,Action
22,Drama
22,War
23,Music
23,Drama
24,Drama
24,Crime
24,Comedy
25,Drama
26,Drama
27,Thriller
27,Action
27,Mystery
27,Crime
28,Drama
29,Biography
29,Drama
29,Crime
30,Thriller
30,Mystery
30,Drama
30,Crime
31,Romance
31,Drama
31,War
32,Thriller
32,Drama
32,Crime
33,Drama
34,Drama
35,Comedy
35,Thriller
35,Musical
35,Action
35,Crime
36,Comedy
36,Thriller
36,Musical
36,Action
36,Crime
37,Thriller
37,Action
37,Drama
37,Crime
38,Thriller
38,Action
38,Drama
38,Crime
39,Thriller
39,Action
39,Sport
39,Biography
39,Crime
40,Thriller
40,Crime
40,Comedy
41,Sport
41,Biography
41,Drama
42,Drama
42,Comedy
43,Comedy
43,Romance
43,Sport
43,Drama
44,Drama
45,Drama
45,Fantasy
45,Comedy
46,Drama
46,Comedy
47,Comedy
47,Adventure
47,Thriller
47,Musical
47,Action
47,Drama
48,Comedy
48,Thriller
48,Action
48,Drama
48,Crime
49,Comedy
49,Thriller
49,Action
49,Drama
49,Crime
50,Family
50,Sport
50,Drama
51,Romance
51,Drama
52,Romance
52,Drama
52,Comedy
53,Action
53,Thriller
53,Drama
54,Thriller
54,Mystery
54,Drama
54,Crime
55,Drama
55,Musical
55,Comedy
56,Family
56,Drama
56,Comedy
57,Drama
58,Thriller
58,Action
58,Romance
58,Drama
59,Romance
59,Drama
59,Comedy
60,Romance
60,Drama
60,Comedy
61,Family
61,Romance
61,Comedy
62,Action
62,Adventure
62,Drama
63,Action
63,Thriller
63,Drama
64,Thriller
64,Drama
65,Adventure
65,Musical
65,Sport
65,Drama
66,Thriller
66,Mystery
67,Drama
67,Fantasy
67,Comedy
68,Sport
68,Drama
69,Sport
69,Drama
70,Drama
70,Comedy
71,Thriller
71,Drama
71,Crime
72,Action
72,Thriller
72,Crime
73,Drama
74,Action
74,Drama
74,Crime
75,Action
75,History
75,Biography
75,Drama
76,Thriller
76,Action
76,Drama
76,Crime
77,Romance
77,Drama
77,Comedy
78,Comedy
78,Romance
78,Drama
78,Fantasy
79,Romance
79,Drama
79,Comedy
80,Romance
80,Drama
80,Musical
81,Thriller
81,Action
81,Drama
81,Crime
82,Thriller
82,Action
82,Drama
82,Crime
83,Thriller
83,Mystery
83,Drama
83,Crime
84,Family
84,Drama
84,Musical
85,Comedy
85,Musical
85,Romance
85,Drama
86,Thriller
86,Drama
86,Crime
87,Action
87,Drama
88,Romance
88,Musical
88,Comedy
89,Thriller
89,Action
89,Drama
89,Crime
90,Action
90,Thriller
90,Drama
91,Romance
91,Drama
91,Comedy
92,Thriller
92,Drama
92,Crime
93,Thriller
93,Drama
93,Crime
94,Action
94,Thriller
94,Musical
95,Thriller
95,Action
95,Drama
95,Crime
96,Action
96,Drama
97,Drama
97,Comedy
98,Action
98,Drama
98,Comedy
99,Drama
100,Adventure
100,Biography
100,Drama
101,Drama
101,Comedy
102,Drama
102,Comedy
103,Romance
103,Drama
103,Comedy
104,Drama
105,Thriller
105,Mystery
105,Drama
105,Crime
106,Biography
106,Drama
106,Comedy
107,Romance
107,Drama
107,Comedy
108,Drama
108,History
109,Drama
109,History
109,Crime
110,Romance
110,Drama
110,Musical
111,Action
111,Thriller
112,Drama
113,Drama
114,Music
114,Drama
115,Action
115,War
115,Romance
115,Drama
116,Action
116,Drama
117,Action
117,War
117,History
117,Drama
118,Action
118,Drama
119,Action
119,Thriller
119,Crime
120,Action
120,Drama
120,Crime
121,Thriller
121,Action
121,Drama
121,Crime
122,Thriller
122,Mystery
122,Drama
122,Crime
123,Family
123,Drama
