showID,celebID,role
0,368,W
0,368,W
0,1658,A
0,89,A
0,1206,A
1,1285,W
1,1465,A
1,1131,A
1,992,A
2,1843,W
2,299,W
2,851,A
2,805,A
2,38,A
3,851,W
3,851,W
3,851,A
3,1466,A
3,1164,A
4,136,W
4,1852,W
4,1063,A
4,116,A
4,354,A
5,678,W
5,1955,W
5,399,A
5,1466,A
5,843,A
6,508,W
6,820,W
6,1786,A
6,988,A
6,1983,A
7,578,W
7,1864,A
7,1720,A
7,49,A
8,1367,W
8,441,W
8,461,A
8,1995,A
8,618,A
9,831,W
9,201,W
9,1379,A
9,345,A
9,1422,A
10,923,W
10,923,W
10,1700,A
10,1379,A
10,808,A
11,622,W
11,1003,W
11,1379,A
11,1466,A
11,1721,A
12,1838,W
12,1993,A
12,1363,A
12,1763,A
13,1964,W
13,1465,A
13,1482,A
13,722,A
14,1798,W
14,399,A
14,239,A
14,2030,A
15,745,W
15,167,W
15,1,A
15,854,A
15,978,A
16,1027,W
16,1027,W
16,1935,A
16,617,A
16,1482,A
17,1281,W
17,538,W
17,994,A
17,1160,A
17,1932,A
18,682,W
18,682,W
18,1571,A
18,877,A
18,969,A
19,1931,W
19,1446,W
19,1076,A
19,827,A
19,89,A
20,421,W
20,1311,A
20,940,A
20,906,A
21,471,W
21,333,W
21,580,A
21,1865,A
21,1270,A
22,1260,W
22,1027,W
22,1466,A
22,1717,A
22,1077,A
23,811,W
23,195,W
23,1820,A
23,1026,A
23,548,A
24,598,W
24,575,A
24,815,A
24,1049,A
25,1367,W
25,441,W
25,1645,A
25,827,A
25,922,A
26,1323,W
26,1692,A
26,1394,A
26,1864,A
27,1830,W
27,1045,A
27,604,A
27,113,A
28,2019,W
28,2041,W
28,617,A
28,1373,A
28,755,A
29,1823,W
29,1823,W
29,1450,A
29,536,A
29,1035,A
30,913,W
30,1266,W
30,192,A
30,1877,A
30,611,A
31,504,W
31,835,W
31,360,A
31,1053,A
31,1630,A
32,1285,W
32,1431,W
32,1219,A
32,842,A
32,1160,A
33,1367,W
33,441,W
33,372,A
33,384,A
33,379,A
34,130,W
34,1326,W
34,89,A
34,1904,A
34,109,A
35,1535,W
35,182,W
35,977,A
35,940,A
35,1824,A
36,39,W
36,879,W
36,670,A
36,249,A
36,1887,A
37,2025,W
37,2025,W
37,967,A
37,1905,A
37,1561,A
38,508,W
38,6,W
38,1071,A
38,782,A
38,940,A
39,245,W
39,415,W
39,192,A
39,305,A
39,26,A
40,1612,W
40,721,W
40,399,A
40,1851,A
40,1864,A
41,4,W
41,475,A
41,1304,A
41,988,A
42,282,W
42,4,W
42,1379,A
42,1789,A
42,967,A
43,417,W
43,1982,W
43,1379,A
43,365,A
43,605,A
44,1118,W
44,62,W
44,614,A
44,1849,A
44,1697,A
45,1679,W
45,1751,W
45,940,A
45,977,A
45,1693,A
46,371,W
46,775,W
46,1532,A
46,1450,A
46,768,A
47,610,W
47,68,W
47,1704,A
47,1076,A
47,89,A
48,1974,W
48,508,W
48,1618,A
48,1930,A
48,525,A
49,1030,W
49,905,A
49,1894,A
49,1126,A
50,598,W
50,598,W
50,614,A
50,793,A
50,836,A
51,1837,W
51,1837,W
51,1884,A
51,1945,A
51,2055,A
52,984,W
52,984,W
52,654,A
52,905,A
52,249,A
53,975,W
53,975,W
53,1380,A
53,1861,A
53,229,A
54,1632,W
54,1632,W
54,575,A
54,1,A
54,324,A
55,919,W
55,622,W
55,749,A
55,246,A
55,849,A
56,984,W
56,249,A
56,1705,A
56,1535,A
57,2042,W
57,508,W
57,501,A
57,1927,A
57,1264,A
58,1027,W
58,1865,A
58,108,A
58,2077,A
59,562,W
59,475,W
59,1379,A
59,322,A
59,247,A
60,346,W
60,1144,W
60,1245,A
60,532,A
60,939,A
61,353,W
61,353,W
61,1379,A
61,1590,A
61,778,A
62,692,W
62,1145,W
62,1379,A
62,1,A
62,1546,A
63,1860,W
63,975,W
63,1592,A
63,407,A
63,878,A
64,620,W
64,2071,W
64,1427,A
64,89,A
64,1485,A
65,62,W
65,62,W
65,1379,A
65,601,A
65,849,A
66,1563,W
66,1563,W
66,801,A
66,2048,A
66,1103,A
67,622,W
67,1003,W
67,1379,A
67,435,A
67,749,A
68,543,W
68,2084,W
68,1022,A
68,1,A
68,340,A
69,323,W
69,382,A
69,1575,A
69,1647,A
70,475,W
70,195,W
70,352,A
70,475,A
70,1143,A
71,792,W
71,913,W
71,192,A
71,1160,A
71,2077,A
72,1277,W
72,823,A
72,1340,A
72,1225,A
73,1382,W
73,1930,A
73,1310,A
73,1311,A
74,1843,W
74,1695,W
74,1935,A
74,727,A
74,229,A
75,745,W
75,1298,W
75,1219,A
75,257,A
75,50,A
76,913,W
76,1095,W
76,1219,A
76,322,A
76,938,A
77,449,W
77,1655,W
77,1059,A
77,637,A
77,1910,A
78,919,W
78,622,W
78,749,A
78,246,A
78,801,A
79,1176,W
79,817,W
79,967,A
79,395,A
79,878,A
80,1027,W
80,1722,W
80,1865,A
80,1861,A
80,734,A
81,610,W
81,610,W
81,89,A
81,892,A
81,1867,A
82,1405,W
82,1405,W
82,1214,A
82,1286,A
82,105,A
83,1974,W
83,508,W
83,1761,A
83,1264,A
83,321,A
84,1166,W
84,1908,W
84,2029,A
84,1874,A
84,152,A
85,549,W
85,549,W
85,614,A
85,902,A
85,1235,A
86,493,W
86,508,W
86,1786,A
86,493,A
86,1915,A
87,1888,W
87,947,W
87,166,A
87,1654,A
87,1971,A
88,1936,W
88,1936,W
88,1874,A
88,390,A
88,328,A
89,117,W
89,699,W
89,1906,A
89,1160,A
89,1912,A
90,975,W
90,975,W
90,851,A
90,29,A
90,1861,A
91,561,W
91,1143,W
91,1143,A
91,924,A
91,9,A
92,1632,W
92,977,A
92,575,A
92,1618,A
93,955,W
93,1727,A
93,1781,A
93,1971,A
94,986,W
94,1549,A
94,239,A
94,878,A
95,1294,W
95,598,W
95,1219,A
95,1465,A
95,1861,A
96,1423,W
96,1183,W
96,749,A
96,958,A
96,599,A
97,378,W
97,378,W
97,994,A
97,1488,A
97,496,A
98,1888,W
98,1888,W
98,1590,A
98,307,A
98,525,A
99,1868,W
99,1868,W
99,7,A
99,1345,A
99,635,A
100,107,W
100,133,W
100,525,A
100,1932,A
100,1246,A
101,112,W
101,1310,A
101,1074,A
101,112,A
102,112,W
102,399,A
102,1434,A
102,1155,A
103,1195,W
103,1906,A
103,511,A
103,705,A
104,543,W
104,543,W
104,1154,A
104,1022,A
104,1683,A
105,1563,W
105,1563,W
105,89,A
105,1427,A
105,1490,A
106,706,W
106,425,W
106,977,A
106,1932,A
106,1304,A
107,405,W
107,936,W
107,664,A
107,614,A
107,322,A
108,794,W
108,534,W
108,977,A
108,1834,A
108,114,A
109,1294,W
109,851,W
109,851,A
109,614,A
109,1904,A
110,889,W
110,1262,W
110,1229,A
110,1717,A
110,310,A
111,1632,W
111,977,A
111,439,A
111,1654,A
112,106,W
112,106,W
112,614,A
112,902,A
112,480,A
113,1359,W
113,315,W
113,1604,A
113,1887,A
113,392,A
114,462,W
114,1040,A
114,220,A
114,1839,A
115,610,W
115,610,W
115,89,A
115,352,A
115,664,A
116,1888,W
116,947,W
116,166,A
116,1654,A
116,470,A
117,1177,W
117,304,W
117,28,A
117,1572,A
117,1824,A
118,1686,W
118,691,A
118,1396,A
118,2070,A
119,51,W
119,889,W
119,851,A
119,1973,A
119,878,A
120,1204,W
120,1219,A
120,849,A
120,289,A
121,87,W
121,87,W
121,1866,A
121,1813,A
121,1897,A
122,337,W
122,1840,W
122,1076,A
122,1048,A
122,929,A
123,524,W
123,1585,A
123,765,A
123,589,A
124,1163,W
124,1701,W
124,595,A
124,342,A
124,2049,A
125,1318,W
125,1549,A
125,1738,A
125,878,A
126,161,W
126,161,W
126,1762,A
126,161,A
126,609,A
127,684,W
127,1675,W
127,192,A
127,1834,A
127,525,A
128,475,W
128,1807,W
128,1398,A
128,475,A
128,1939,A
129,923,W
129,1804,A
129,242,A
129,477,A
130,610,W
130,610,W
130,89,A
130,810,A
130,780,A
131,1826,W
131,1699,W
131,1906,A
131,1026,A
131,511,A
132,610,W
132,68,W
132,495,A
132,1585,A
132,1235,A
133,508,W
133,975,W
133,495,A
133,1904,A
133,1235,A
134,534,W
134,1017,W
134,192,A
134,1227,A
134,1190,A
135,1524,W
135,667,W
135,1356,A
135,1776,A
135,112,A
136,1589,W
136,1589,W
136,994,A
136,906,A
136,1591,A
137,1539,W
137,770,W
137,1026,A
137,1311,A
137,97,A
138,1598,W
138,45,W
138,1143,A
138,940,A
138,1123,A
139,2052,W
139,1431,W
139,940,A
139,1786,A
139,192,A
140,1027,W
140,293,W
140,1693,A
140,403,A
140,1963,A
141,463,W
141,463,W
141,1282,A
141,946,A
141,128,A
142,1357,W
142,1357,W
142,1549,A
142,1910,A
142,878,A
143,549,W
143,549,W
143,614,A
143,664,A
143,1904,A
144,137,W
144,1911,W
144,249,A
144,1872,A
144,472,A
145,2045,W
145,784,W
145,1379,A
145,206,A
145,1330,A
146,953,W
146,1691,A
146,1925,A
146,1675,A
147,582,W
147,762,W
147,290,A
147,1527,A
147,1026,A
148,1294,W
148,1972,W
148,89,A
148,1693,A
148,1758,A
149,361,W
149,2039,W
149,1450,A
149,24,A
149,216,A
150,1754,W
150,763,A
150,1401,A
150,507,A
151,362,W
151,707,W
151,82,A
151,1862,A
151,1564,A
152,221,W
152,1580,W
152,1848,A
152,1749,A
152,1887,A
153,1513,W
153,970,W
153,1143,A
153,1683,A
153,339,A
154,1299,W
154,394,W
154,1304,A
154,1976,A
154,286,A
155,1818,W
155,1589,W
155,1234,A
155,1454,A
155,1979,A
156,896,W
156,89,A
156,403,A
156,1786,A
157,1859,W
157,1859,W
157,614,A
157,1665,A
157,605,A
158,1432,W
158,622,W
158,1059,A
158,940,A
158,1861,A
159,833,W
159,833,W
159,527,A
159,28,A
159,614,A
160,21,W
160,959,W
160,1356,A
160,112,A
160,1463,A
161,34,W
161,1148,W
161,1710,A
161,274,A
161,1987,A
162,1455,W
162,1800,W
162,1450,A
162,1912,A
162,24,A
163,1504,W
163,1532,A
163,1466,A
163,324,A
164,1195,W
164,1484,W
164,1059,A
164,1454,A
164,623,A
165,1701,W
165,1229,A
165,1887,A
165,1070,A
166,1924,W
166,343,W
166,1028,A
166,1406,A
166,1450,A
167,936,W
167,936,W
167,614,A
167,902,A
167,1904,A
168,1195,W
168,1026,A
168,188,A
168,98,A
169,1888,W
169,947,W
169,1604,A
169,1137,A
169,1209,A
170,1095,W
170,1672,W
170,1268,D
170,614,A
170,902,A
170,943,A
171,1840,W
171,90,W
171,322,A
171,782,A
171,2003,A
172,886,W
172,886,W
172,1466,A
172,734,A
172,1864,A
173,1632,W
173,1632,W
173,1406,A
173,1069,A
173,575,A
174,1416,W
174,405,W
174,1059,A
